Timestamp_ms,Accel_Z_Raw,GPS_Alt,INS_Alt_Est,Kalman_Alt_Est
239,9.914389610290527,0.0,1.0438961029052684e-05,5.219480514526343e-06
249,9.988609313964844,0.0,3.8738853454589695e-05,2.458890724182119e-05
259,9.880870819091797,0.0,7.412582778930634e-05,5.643234062194802e-05
269,9.998186111450195,0.0,0.00012833141326904247,0.0001012286205291744
279,9.950302124023438,0.0,0.0001965672111511223,0.0001624493122100824
289,9.9000244140625,0.0,0.0002738054504394521,0.0002351863307952872
300,9.938331604003906,0.0,0.00037429563774108744,0.0003279124560546863
309,9.840168952941895,0.0,0.0004589585670852643,0.0004113535428047165
319,9.9000244140625,0.0,0.0005620309299850441,0.0005099246850013713
328,9.921571731567383,0.0,0.0006638333668518039,0.0006072084667396521
339,9.976638793945312,0.0,0.0008084218615341152,0.000741715314388272
349,9.916783332824707,0.0,0.0009505442808914144,0.000878498567104336
358,9.873687744140625,0.0,0.0010836131655883742,0.0010089880981636005
369,9.854534149169922,0.0,0.0012516415456008856,0.0011743221621513316
379,9.885659217834473,0.0,0.0014119605401229796,0.001330858195781702
388,9.864110946655273,0.0,0.0015606306218719412,0.0014773367841911251
399,9.861717224121094,0.0,0.001748596283683769,0.0016621735539436267
409,9.854534149169922,0.0,0.00192392757297515,0.0018352781357765116
419,9.856928825378418,0.0,0.0021039517448043724,0.002012955866336814
429,9.880870819091797,0.0,0.002291062998542775,0.002196523579120626
439,9.84256362915039,0.0,0.002481430615196216,0.0023852630143165483
450,9.86889934539795,0.0,0.0026979618143081535,0.0025982308030319096
460,9.880870819091797,0.0,0.0029018954408645487,0.002798620888633715
471,9.916783332824707,0.0,0.0031391432133483733,0.003029408269481645
480,9.86650562286377,0.0,0.0033378319826507406,0.003225808561058029
490,9.873687744140625,0.0,0.0035649660562896554,0.0034497582474899125
500,9.943120002746582,0.0,0.003805412130203228,0.0036835483212661565
510,9.964667320251465,0.0,0.004061324936141948,0.003931727761192302
520,9.916783332824707,0.0,0.004327916075363138,0.004192979733772257
530,9.888052940368652,0.0,0.004602312508621193,0.00446347352001188
540,9.928754806518555,0.0,0.0048885844225311035,0.004743807693595862
550,9.967061996459961,0.0,0.00519056253608701,0.005037932707328771
560,9.880870819091797,0.0,0.005499627731552097,0.005343454361839268
570,9.880870819091797,0.0,0.005815780008926363,0.005656063098258945
579,9.90241813659668,0.0,0.006107802927627533,0.005944343082427949
590,9.804255485534668,0.0,0.006464024742011991,0.00630091243993756
601,9.861717224121094,0.0,0.006826504340515102,0.006660263146381345
611,9.909601211547852,0.0,0.007165991369399988,0.006994770114688838
621,9.952696800231934,0.0,0.007519748078308067,0.007341391983585321
631,9.93354320526123,0.0,0.007885859107742269,0.007701325852756461
641,9.950302124023438,0.0,0.008266000349578815,0.008074451988391835
651,9.926360130310059,0.0,0.008657777604446366,0.008460411236743884
661,9.928754806518555,0.0,0.009061430339965773,0.008858126231937364
671,9.99100399017334,0.0,0.009483183474502515,0.009270829166965438
681,9.876082420349121,0.0,0.009911544851074167,0.009695886422519635
691,9.99339771270752,0.0,0.010358245998916573,0.010133417684726663
700,9.923966407775879,0.0,0.010769508311004584,0.01054006435729975
710,9.892841339111328,0.0,0.011234750569457951,0.011001164548797552
721,9.9000244140625,0.0,0.011757410007858217,0.011518377510147037
731,9.888052940368652,0.0,0.012240360245895324,0.01199742510116571
741,9.8784761428833,0.0,0.01273015809822076,0.012483799146346982
751,9.828198432922363,0.0,0.013221775793838432,0.012974506920318537
761,9.981427192687988,0.0,0.013730536208724903,0.013474695975570609
771,9.876082420349121,0.0,0.014245904865646287,0.013986760511474537
780,9.828198432922363,0.0,0.014711210729942244,0.014451329339237137
791,9.938331604003906,0.0,0.015295446021499553,0.01502780056875221
801,9.801861763000488,0.0,0.015825755190124427,0.01555851664922706
812,9.921571731567383,0.0,0.016422595455131445,0.016148606824474252
821,9.983820915222168,0.0,0.016924998802451997,0.01664397042472831
831,9.892841339111328,0.0,0.017491508877830412,0.017206338433151155
841,9.93354320526123,0.0,0.01807037327373495,0.017779025668792633
850,9.86889934539795,0.0,0.018596122077026267,0.018302389048595335
861,9.861717224121094,0.0,0.019244961731834306,0.01894809981134405
871,9.93354320526123,0.0,0.019847170284004102,0.019544131203250787
881,9.86650562286377,0.0,0.020455029398460275,0.020149165036563773
891,9.967061996459961,0.0,0.021078594712562446,0.020764877250842945
901,9.8784761428833,0.0,0.021709007640952946,0.021391866372089282
910,9.825803756713867,0.0,0.022277659380798218,0.021959878059787642
920,9.971850395202637,0.0,0.02292567968681323,0.02259980584604252
931,9.876082420349121,0.0,0.023646497996291985,0.023316626169090155
951,9.849745750427246,0.0,0.02497297504096971,0.02463515406368243
998,9.940725326538086,0.0,0.028378968342285003,0.027896761241836404
1059,9.895236015319824,0.0,0.03311667605274183,0.0324758873457907
1092,9.880870819091797,0.0,0.03575687657875042,0.03507749871080381
1097,9.883264541625977,0.0,0.036158738575019646,0.035478444900302705
